,precision,recall,f1-score,support
Class 0,0.7742448330683624,0.7480798771121352,0.7609375,651.0
Class 1,0.7536231884057971,0.7878787878787878,0.7703703703703704,198.0
Class 2,0.8290598290598291,0.7158671586715867,0.7683168316831683,271.0
Class 3,0.7983193277310925,0.7851239669421488,0.7916666666666666,121.0
Class 4,0.7849462365591398,0.8141263940520446,0.7992700729927007,269.0
Class 5,0.9016949152542373,0.8664495114006515,0.8837209302325582,307.0
Class 6,0.9212598425196851,0.6882352941176471,0.7878787878787878,170.0
Class 7,0.9665960723912206,0.9757069283840248,0.9711301320179893,10291.0
accuracy,0.942743117771624,0.942743117771624,0.942743117771624,0.942743117771624
macro avg,0.8412180306236705,0.7976834898198784,0.8166614114802802,12278.0
weighted avg,0.9420384314046576,0.942743117771624,0.9420145570645945,12278.0
