Iteration,DifferenceFromPrevious_ms
2,-0.312258
3,-0.085722
4,-0.085703
5,-0.083
6,-0.071776
7,-0.06813
8,-0.056833
9,-0.055944
10,-0.05524
11,-0.054704
12,-0.054333
13,-0.050464
14,-0.048777
15,-0.048463
16,-0.048333
17,-0.043759
18,-0.039908
19,-0.037777
20,-0.036167
21,-0.035426
22,-0.029352
23,-0.028704
24,-0.02526
25,-0.023519
26,-0.020889
27,-0.017295
28,-0.0155
29,-0.014741
30,-0.014722
31,-0.013333
32,-0.012592
33,-0.011593
34,-0.010593
35,-0.010464
36,-0.009926
37,-0.009259
38,-0.008908
39,-0.007259
40,-0.006573
41,-0.006222
42,-0.006093
43,-0.005963
44,-0.005463
45,-0.005241
46,-0.005037
47,-0.004944
48,-0.004889
49,-0.004501
50,-0.004148
51,-0.004092
52,-0.003908
53,-0.003407
54,-0.003092
55,-0.002944
56,-0.002944
57,-0.002593
58,-0.0025
59,-0.001963
60,-0.0015
61,-0.001462
62,-0.001445
63,-0.001111
64,-0.001073
65,-0.001056
66,-0.001055
67,-0.000982
68,-0.00098
69,-0.000963
70,-0.000962
71,-0.000944
72,-0.000926
73,-0.000908
74,-0.000907
75,-0.000907
76,-0.000907
77,-0.000907
78,-0.00089
79,-0.000871
80,-0.00087
81,-0.00087
82,-0.000852
83,-0.000834
84,-0.000833
85,-0.000833
86,-0.000815
87,-0.000815
88,-0.000814
89,-0.000796
90,-0.000796
91,-0.000796
92,-0.00076
93,-0.00076
94,-0.000759
95,-0.000759
96,-0.000759
97,-0.000742
98,-0.000741
99,-0.000741
100,-0.000741
101,-0.00074
102,-0.000723
103,-0.000722
104,-0.000722
105,-0.000722
106,-0.000722
107,-0.000705
108,-0.000704
109,-0.000703
110,-0.000703
111,-0.000703
112,-0.000703
113,-0.000685
114,-0.000685
115,-0.000667
116,-0.000667
117,-0.000666
118,-0.000666
119,-0.000666
120,-0.000649
121,-0.000649
122,-0.000649
123,-0.000649
124,-0.000648
125,-0.000648
126,-0.000648
127,-0.00063
128,-0.00063
129,-0.00063
130,-0.00063
131,-0.00063
132,-0.000611
133,-0.000611
134,-0.00061
135,-0.00061
136,-0.000593
137,-0.000593
138,-0.000593
139,-0.000593
140,-0.000593
141,-0.000593
142,-0.000592
143,-0.000592
144,-0.000575
145,-0.000575
146,-0.000574
147,-0.000574
148,-0.000574
149,-0.000574
150,-0.000574
151,-0.000574
152,-0.000573
153,-0.000556
154,-0.000556
155,-0.000556
156,-0.000556
157,-0.000556
158,-0.000556
159,-0.000555
160,-0.000555
161,-0.000555
162,-0.000555
163,-0.000555
164,-0.000555
165,-0.000555
166,-0.000538
167,-0.000538
168,-0.000537
169,-0.000537
170,-0.000537
171,-0.000537
172,-0.000537
173,-0.000537
174,-0.000537
175,-0.000536
176,-0.000536
177,-0.000519
178,-0.000519
179,-0.000519
180,-0.000518
181,-0.000518
182,-0.000518
183,-0.000518
184,-0.000518
185,-0.000501
186,-0.000501
187,-0.000501
188,-0.000501
189,-0.000501
190,-0.0005
191,-0.0005
192,-0.0005
193,-0.0005
194,-0.0005
195,-0.0005
196,-0.0005
197,-0.000499
198,-0.000499
199,-0.000483
200,-0.000482
201,-0.000482
202,-0.000482
203,-0.000482
204,-0.000481
205,-0.000481
206,-0.000481
207,-0.000481
208,-0.000481
209,-0.000481
210,-0.000463
211,-0.000463
212,-0.000463
213,-0.000463
214,-0.000463
215,-0.000462
216,-0.000445
217,-0.000445
218,-0.000445
219,-0.000445
220,-0.000445
221,-0.000444
222,-0.000444
223,-0.000444
224,-0.000444
225,-0.000444
226,-0.000444
227,-0.000444
228,-0.000444
229,-0.000444
230,-0.000444
231,-0.000426
232,-0.000426
233,-0.000426
234,-0.000426
235,-0.000426
236,-0.000425
237,-0.000425
238,-0.000425
239,-0.000408
240,-0.000408
241,-0.000407
242,-0.000407
243,-0.000407
244,-0.000407
245,-0.000407
246,-0.000407
247,-0.000407
248,-0.000407
249,-0.00039
250,-0.000389
251,-0.000389
252,-0.000389
253,-0.000389
254,-0.000389
255,-0.000389
256,-0.000388
257,-0.000388
258,-0.000388
259,-0.000388
260,-0.000371
261,-0.000371
262,-0.000371
263,-0.000371
264,-0.00037
265,-0.00037
266,-0.00037
267,-0.00037
268,-0.00037
269,-0.00037
270,-0.00037
271,-0.00037
272,-0.00037
273,-0.00037
274,-0.000353
275,-0.000352
276,-0.000352
277,-0.000352
278,-0.000352
279,-0.000352
280,-0.000352
281,-0.000352
282,-0.000352
283,-0.000352
284,-0.000352
285,-0.000351
286,-0.000351
287,-0.000351
288,-0.000334
289,-0.000334
290,-0.000334
291,-0.000334
292,-0.000334
293,-0.000334
294,-0.000334
295,-0.000334
296,-0.000333
297,-0.000333
298,-0.000333
299,-0.000333
300,-0.000333
301,-0.000332
302,-0.000315
303,-0.000315
304,-0.000315
305,-0.000315
306,-0.000315
307,-0.000315
308,-0.000315
309,-0.000315
310,-0.000315
311,-0.000315
312,-0.000314
313,-0.000298
314,-0.000297
315,-0.000297
316,-0.000297
317,-0.000296
318,-0.000296
319,-0.000296
320,-0.000296
321,-0.000279
322,-0.000278
323,-0.000278
324,-0.000278
325,-0.000278
326,-0.000278
327,-0.000278
328,-0.000278
329,-0.000278
330,-0.000277
331,-0.00026
332,-0.00026
333,-0.00026
334,-0.00026
335,-0.00026
336,-0.000259
337,-0.000259
338,-0.000259
339,-0.000259
340,-0.000259
341,-0.000259
342,-0.000258
343,-0.000258
344,-0.000241
345,-0.000241
346,-0.000241
347,-0.000241
348,-0.000241
349,-0.000241
350,-0.000241
351,-0.000241
352,-0.00024
353,-0.00024
354,-0.00024
355,-0.00024
356,-0.00024
357,-0.00024
358,-0.00024
359,-0.000223
360,-0.000223
361,-0.000223
362,-0.000222
363,-0.000222
364,-0.000222
365,-0.000222
366,-0.000222
367,-0.000222
368,-0.000222
369,-0.000204
370,-0.000204
371,-0.000204
372,-0.000204
373,-0.000203
374,-0.000203
375,-0.000203
376,-0.000203
377,-0.000203
378,-0.000203
379,-0.000186
380,-0.000186
381,-0.000186
382,-0.000186
383,-0.000185
384,-0.000185
385,-0.000185
386,-0.000185
387,-0.000185
388,-0.000185
389,-0.000185
390,-0.000185
391,-0.000184
392,-0.000168
393,-0.000167
394,-0.000167
395,-0.000167
396,-0.000167
397,-0.000167
398,-0.000167
399,-0.000167
400,-0.000167
401,-0.000167
402,-0.000167
403,-0.000166
404,-0.000166
405,-0.000166
406,-0.000166
407,-0.000166
408,-0.000166
409,-0.000166
410,-0.000166
411,-0.000166
412,-0.000149
413,-0.000149
414,-0.000149
415,-0.000148
416,-0.000148
417,-0.000148
418,-0.000148
419,-0.000148
